,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points_old,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,total_points_new,prediction
248,0,1,190,100,75,1,42996,0,0,-4,4,122.7,0,194,2,0.0,0.0,0,Angel,0.0,24,1,40.0,361,False,221.8,0,0,0,0,831,,41,0,0,0,42996.jpg,1.4,0,0,Rangel,0.2,False,22,a,16,80,54.0,26,6830,0,15697,0,0.0,6.3,Rangel,1,4,4
249,1,4,435,100,100,6,57145,0,0,-3,3,38.2,1,333,2,5.5,0.0,1,Federico,0.0,41,0,82.9,363,False,579.4,0,0,0,0,2430,,42,0,0,0,57145.jpg,2.3,0,0,Fernández,1.9,False,33,a,16,80,206.0,63,67419,0,86286,0,0.0,15.0,Fernández,7,85,85
250,0,2,192,None,None,3,96306,0,0,-1,1,106.8,1,75,2,2.0,0.0,1,Stephen,0.0,20,0,26.2,365,False,140.2,0,0,0,0,1036,,39,0,0,0,96306.jpg,2.2,0,0,Kingsley,8.9,False,35,a,16,80,15.0,29,668481,0,531433,0,0.0,7.4,Kingsley,0,0,37
251,0,0,125,None,None,1,97615,0,0,-2,2,1.2,1,0,2,0.3,0.0,0,Mike,0.0,20,1,24.3,366,False,191.6,0,0,0,0,662,,43,0,0,0,97615.jpg,2.0,0,0,van der Hoorn,0.2,False,5,a,16,80,50.0,16,18145,0,22375,0,0.0,3.7,van der Hoorn,1,74,58
265,0,4,611,100,100,14,55605,0,0,-1,1,102.2,0,598,2,5.1,1.5,8,Toby,0.0,17,1,108.6,382,False,618.4,0,0,0,0,2601,,64,0,0,0,55605.jpg,4.0,0,0,Alderweireld,9.6,False,4,a,17,6,363.0,120,160957,0,658121,0,0.0,18.8,Alderweireld,1,43,37
266,3,6,357,50,0,8,38290,0,0,-2,2,371.5,2,346,2,0.0,0.0,0,Danny,0.0,11,2,99.6,383,False,387.4,0,0,0,0,1530,Knee injury - 50% chance of playing,58,0,0,0,38290.jpg,4.7,0,0,Rose,4.3,False,3,d,17,6,237.0,84,389382,0,551919,0,0.0,14.5,Rose,8,24,22
267,6,18,640,100,75,14,58621,0,0,7,-7,570.5,3,461,2,2.3,1.1,0,Kyle,0.0,21,0,140.2,384,False,564.0,0,0,0,0,2701,,62,0,0,0,58621.jpg,4.3,0,0,Walker,27.6,False,2,a,17,6,264.0,142,1642297,0,1405304,0,0.0,22.9,Walker,8,138,37
268,0,8,733,100,100,15,39194,0,0,3,-3,121.1,0,335,2,5.7,1.5,2,Jan,0.0,21,0,105.1,385,False,790.8,0,0,0,0,2894,,58,0,0,0,39194.jpg,3.8,0,0,Vertonghen,7.7,False,5,a,17,6,138.0,126,595721,0,435599,0,0.0,21.7,Vertonghen,5,138,71
269,3,5,443,100,100,8,115556,0,0,0,0,449.6,0,192,2,7.1,1.5,8,Ben,0.0,13,1,105.8,386,False,452.0,0,0,0,0,1739,,50,0,0,0,115556.jpg,3.9,0,0,Davies,5.2,False,33,a,17,6,156.0,90,275625,0,59417,0,0.0,18.0,Davies,1,143,143
270,5,7,202,100,75,3,77794,0,0,-3,3,185.6,3,110,2,2.9,1.1,8,Kieran,0.0,3,0,40.6,387,False,183.8,0,0,0,0,568,,47,0,0,0,77794.jpg,4.3,0,0,Trippier,0.4,False,16,a,17,6,35.0,51,32714,0,22786,0,0.0,10.9,Trippier,1,113,7
271,0,0,26,100,100,0,97485,0,0,-5,5,14.4,0,131,2,1.5,1.5,0,Kevin,0.0,4,0,5.4,388,False,39.4,0,0,0,0,357,,45,1,0,0,97485.jpg,0.4,0,0,Wimmer,0.1,False,27,a,17,6,0.0,2,7624,0,11817,0,0.0,0.4,Wimmer,3,19,19
272,0,0,0,0,0,0,151119,0,0,-1,1,0.0,0,227,2,0.0,0.0,0,DeAndre,0.0,0,0,0.0,389,False,0.0,0,0,0,0,0,Joined Newcastle on 24/8,44,0,0,0,151119.jpg,0.0,0,0,Yedlin,0.2,False,36,u,17,6,0.0,0,496,0,14284,0,0.0,0.0,Yedlin,0,88,7
287,1,3,183,75,0,2,41338,0,0,-2,2,61.7,1,335,2,0.0,0.0,0,Craig,0.0,21,0,33.2,408,False,225.2,0,0,0,0,1162,Knee injury - 75% chance of playing,43,0,0,0,41338.jpg,2.1,0,0,Cathcart,0.2,False,15,d,18,57,45.0,31,15550,0,27901,0,0.0,7.2,Cathcart,3,14,1
288,2,3,441,100,0,5,41945,0,0,-2,2,111.3,1,181,2,0.0,0.0,0,Sebastian,0.0,49,1,103.8,409,False,624.0,0,0,0,0,2770,,43,0,0,0,41945.jpg,2.0,1,0,Prödl,0.8,False,5,a,18,57,302.0,67,115809,0,95009,0,0.0,15.6,Prödl,10,42,34
289,4,9,547,100,100,7,40868,0,0,1,-1,567.6,1,96,2,-0.8,-1.0,0,José,0.0,61,2,144.6,411,False,666.8,0,0,0,0,2905,,46,0,0,0,40868.jpg,2.6,0,0,Holebas,3.0,False,25,a,18,57,211.0,87,528595,0,442080,0,0.0,18.9,Holebas,14,72,117
290,2,6,419,100,100,5,67527,0,0,-1,1,214.3,1,275,2,1.5,0.0,1,Allan-Roméo,0.0,39,0,78.3,412,False,461.0,0,0,0,0,2638,,44,0,0,0,67527.jpg,2.3,0,0,Nyom,1.3,False,2,a,19,35,109.0,74,124417,0,109663,0,0.0,16.8,Nyom,8,70,49
291,2,8,413,100,25,6,52153,0,0,-3,3,96.7,2,205,2,-0.1,-0.3,0,Miguel,0.0,36,1,90.9,413,False,531.2,0,0,0,0,2280,,42,0,0,0,52153.jpg,2.6,2,0,Britos,0.7,False,3,a,18,57,280.0,71,99068,0,78301,0,0.0,16.9,Britos,6,22,22
292,0,1,143,75,0,1,85624,0,0,-2,2,49.1,0,0,2,0.0,0.0,0,Christian,0.0,15,2,41.7,414,False,200.4,0,0,0,0,771,Hamstring injury - 75% chance of playing,48,0,0,0,85624.jpg,2.2,0,0,Kabasele,0.0,False,27,d,18,57,166.0,35,1487,0,3199,0,0.0,7.3,Kabasele,1,68,81
303,1,7,478,100,100,4,37642,0,0,-1,1,117.5,1,343,2,1.5,0.0,8,Jonny,0.0,39,2,100.6,431,False,626.6,0,0,0,0,2637,,44,0,0,0,37642.jpg,2.5,0,0,Evans,4.1,False,6,a,19,35,259.0,79,258822,0,392466,0,0.0,18.0,Evans,8,78,85
304,0,6,500,100,100,6,60232,0,0,-1,1,317.1,1,433,2,2.8,0.0,1,Craig,0.0,50,4,147.9,433,False,742.4,0,0,0,0,3276,,49,0,0,0,60232.jpg,2.8,0,0,Dawson,2.5,False,25,a,19,35,418.0,102,99611,0,105636,0,0.0,20.8,Dawson,10,87,49
305,1,14,576,100,75,7,19272,0,0,5,-5,74.3,4,339,2,1.5,0.0,0,Gareth,0.0,45,6,135.4,436,False,913.8,0,0,0,0,3140,,50,1,0,0,19272.jpg,3.6,0,0,McAuley,24.7,False,23,a,19,35,367.0,131,1560638,0,1012775,0,0.0,26.2,McAuley,5,8,22
