,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points_old,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,total_points_new,prediction
131,2,21,630,100,100,8,66975,0,0,2,-2,379.0,2,0,3,4.5,4.3,3,Luka,3.8,52,10,168.6,132,False,873.8,0,0,0,0,3079,,2017-12-13T10:01:14Z,52,0,1,0,66975.jpg,4.0,0,0,Milivojevic,13.5,False,4,a,6,31,432.0,144,1150971,0,437158,0,0.7,27.7,Milivojevic,8,166,80
137,0,0,5,0,0,0,138009,0,0,-2,2,0.3,0,0,3,0.0,0.0,0,Sullay,0.0,0,0,0.6,515,False,5.2,0,0,0,0,13,Season-long loan to Charlton,2018-01-29T09:33:18Z,43,0,0,0,138009.jpg,1.0,0,0,Kaikai,0.1,False,25,u,6,31,0.0,1,13274,0,12189,0,0.0,0.2,Kaikai,0,0,0
138,0,0,116,None,None,2,214590,0,0,0,0,60.0,0,0,3,0.5,1.1,3,Aaron,0.6,10,0,26.8,579,False,207.2,0,0,0,0,627,,None,45,0,0,0,214590.jpg,2.1,0,0,Wan-Bissaka,0.0,False,29,a,6,31,2.0,15,1066,0,664,0,0.1,3.3,Wan-Bissaka,1,120,79
141,3,3,226,100,50,4,20467,0,0,-9,9,234.9,1,0,3,2.0,1.7,1,Theo,3.4,17,3,95.9,15,False,316.6,0,0,0,0,1214,,2018-05-13T14:01:20Z,66,0,0,0,20467.jpg,3.1,0,0,Walcott,2.1,False,11,a,7,11,406.0,62,606058,0,640298,0,0.5,9.4,Walcott,2,101,101
151,1,0,80,100,100,3,55452,0,0,-1,1,109.0,0,0,3,1.0,1.0,1,Yannick,1.0,14,1,40.8,147,False,98.6,0,0,0,0,848,,2017-12-23T12:31:17Z,64,0,0,0,55452.jpg,2.2,0,0,Bolasie,0.2,False,7,a,7,11,204.0,35,19075,0,18921,0,0.2,5.5,Bolasie,0,0,0
152,0,0,19,0,0,0,26901,0,0,-5,5,20.2,0,0,3,0.0,0.0,0,Kevin,0.0,8,0,7.9,148,False,16.4,0,0,0,0,135,Season-long loan to Olympiakos,2018-01-08T09:47:21Z,60,0,0,0,26901.jpg,1.0,0,0,Mirallas,0.8,False,11,u,7,11,42.0,5,8931,0,118144,0,0.0,0.8,Mirallas,1,0,79
153,0,0,41,0,0,0,50472,0,0,-1,1,19.3,0,0,3,0.0,0.0,0,James,0.0,6,0,5.8,150,False,33.8,0,0,0,0,204,Leg injury - Unknown return date,2018-01-20T18:01:16Z,49,0,0,0,50472.jpg,1.5,0,0,McCarthy,0.0,False,16,i,7,11,4.0,6,804,0,2384,0,0.0,1.2,McCarthy,0,1,79
154,0,1,344,100,100,6,42774,0,0,-3,3,159.2,0,0,3,2.0,2.0,2,Morgan,2.0,38,0,57.2,154,False,361.2,0,0,0,0,2124,,2018-04-28T13:01:18Z,47,0,0,0,42774.jpg,1.7,1,0,Schneiderlin,0.5,False,2,a,7,11,52.0,52,23053,0,59501,0,0.4,11.1,Schneiderlin,4,28,28
155,2,7,552,100,100,9,80801,0,0,-2,2,303.6,1,0,3,6.5,5.6,2,Idrissa,5.6,45,2,104.6,155,False,577.0,0,0,0,0,2749,,2018-03-22T11:01:17Z,48,0,0,0,80801.jpg,2.6,1,0,Gueye,0.9,False,17,a,7,11,166.0,87,43461,0,70280,0,1.2,18.1,Gueye,6,78,99
156,2,3,223,100,100,6,173807,0,0,-4,4,207.2,0,0,3,2.8,2.6,2,Tom,2.6,24,2,65.8,156,False,242.8,0,0,0,0,1892,,2018-03-17T16:31:18Z,51,0,0,0,173807.jpg,2.0,0,0,Davies,0.4,False,26,a,7,11,218.0,66,42268,0,73039,0,0.5,12.9,Davies,7,26,69
