,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points_old,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,total_points_new,prediction
96,0,2,447,100,100,9,19419,0,0,-3,3,55.6,0,0,2,3.3,3.0,1,Gary,2.5,27,0,65.4,98,False,496.6,0,0,0,0,2082,,2018-01-13T18:01:17Z,62,0,0,0,19419.jpg,2.7,1,0,Cahill,3.0,False,24,a,5,8,99.0,74,89245,0,609943,0,0.4,11.9,Cahill,1,2,22
97,2,15,650,100,100,13,82263,0,0,1,-1,549.6,5,0,2,4.3,3.7,0,Marcos,3.2,30,7,207.1,100,True,697.8,0,0,0,0,2855,,2018-04-19T10:01:17Z,71,0,0,0,82263.jpg,5.0,0,0,Alonso,16.2,False,3,a,5,8,822.0,165,1720420,0,1821079,0,0.5,23.2,Alonso,6,161,2
98,2,0,186,0,0,3,41270,0,0,-3,3,22.3,0,0,2,0.0,0.0,0,David,0.0,13,1,29.6,101,False,210.2,0,0,0,0,838,Knee injury - Expected back 13 May,2018-02-15T13:31:17Z,57,0,0,0,41270.jpg,3.2,1,0,Luiz Moreira Marinho,8.1,False,30,i,5,8,65.0,32,326869,0,1196235,0,0.0,5.6,David Luiz,3,164,118
99,6,9,486,100,100,11,49013,0,0,0,0,358.1,4,0,2,6.5,5.7,1,Victor,5.2,20,3,125.9,102,False,417.0,0,0,0,0,2109,,2017-10-14T16:31:15Z,65,0,0,0,49013.jpg,4.7,0,0,Moses,2.9,False,15,a,5,8,482.0,131,270612,0,179921,0,0.8,20.2,Moses,3,2,2
100,1,8,557,100,100,12,102380,0,0,-2,2,83.0,2,0,2,3.7,3.2,0,Antonio,2.7,22,2,84.8,103,False,546.6,0,0,0,0,2336,,2018-03-11T16:31:17Z,58,0,0,0,102380.jpg,4.3,0,0,Rüdiger,3.3,False,2,a,5,8,217.0,115,340478,0,315331,0,0.5,19.8,Rüdiger,4,116,17
110,0,4,475,100,100,8,135363,0,0,-2,2,66.5,0,0,2,1.1,1.2,1,Andreas,0.7,23,0,64.3,470,False,466.6,0,0,0,0,2067,,2018-04-01T14:01:19Z,53,0,0,0,135363.jpg,2.9,0,0,Christensen,1.9,False,27,a,5,8,109.0,79,588107,0,528289,0,0.1,14.9,Christensen,0,22,22
112,1,1,226,100,100,5,105700,0,0,-1,1,245.3,0,0,2,1.3,1.2,0,Davide,0.7,15,1,82.6,543,False,255.2,0,0,0,0,1087,,2018-04-14T11:31:21Z,59,0,0,0,105700.jpg,2.6,0,0,Zappacosta,0.2,False,21,a,5,8,329.0,58,54480,0,50899,0,0.1,9.8,Zappacosta,0,9,49
115,1,0,68,75,75,1,109533,0,0,-3,3,28.7,0,0,2,2.0,1.9,1,Emerson,2.0,4,0,13.8,614,False,61.8,0,0,0,0,278,,2018-02-02T17:01:20Z,52,0,0,0,109533.jpg,2.8,0,0,Palmieri dos Santos,0.1,False,33,a,5,8,48.0,14,8365,0,5242,0,0.4,2.7,Emerson,0,22,0
119,0,9,512,100,100,9,49413,0,0,-1,1,22.4,2,0,2,5.8,5.7,5,James,5.2,32,3,104.7,117,False,712.6,0,0,0,0,2386,,2018-04-07T13:01:18Z,44,0,0,0,49413.jpg,3.5,0,0,Tomkins,4.4,False,5,a,6,31,309.0,99,374009,0,195084,0,1.2,22.5,Tomkins,8,86,140
120,0,0,211,0,0,1,19188,0,0,-4,4,62.3,0,0,2,0.0,0.0,0,Scott,0.0,26,1,67.0,118,False,342.2,0,0,0,0,1434,Knee injury - Unknown return date,2017-12-31T12:31:16Z,46,0,0,0,19188.jpg,1.9,0,0,Dann,0.3,False,6,i,6,31,268.0,32,39567,0,88280,0,0.0,7.0,Dann,4,23,36
121,1,0,276,75,75,4,55494,0,0,-3,3,163.5,0,0,2,2.8,2.3,0,Joel,2.6,25,0,56.3,119,False,340.6,0,0,0,0,1613,Knock - 75% chance of playing,2018-05-05T12:31:19Z,47,1,0,0,55494.jpg,2.2,0,0,Ward,0.2,False,2,d,6,31,58.0,41,11680,0,32636,0,0.6,8.7,Ward,4,13,33
122,0,1,185,100,100,4,58786,0,0,-4,4,25.7,0,0,2,0.8,0.7,0,Martin,0.2,21,0,33.3,120,False,222.6,0,0,0,0,1193,,2018-02-04T15:31:20Z,41,1,0,0,58786.jpg,2.3,0,0,Kelly,0.6,False,34,a,6,31,84.0,34,94855,0,78685,0,0.0,8.3,Kelly,1,26,42
