,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points_old,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,total_points_new,prediction
366,0,0,0,None,None,0,198504,0,0,0,0,0.0,0,0,4,1.0,1.0,0,Kazaiah,0.0,0,0,0.0,643,False,0.0,0,0,0,0,0,,None,45,0,0,0,198504.jpg,0.0,0,0,Sterling,0.1,False,54,a,17,6,0.0,0,5574,0,2003,0,0.0,0.0,Sterling,0,0,0
367,3,4,237,None,None,5,73426,0,0,-2,2,254.0,0,0,4,1.8,1.6,2,Andre,2.6,30,5,108.2,92,False,251.2,0,0,0,0,1486,,None,63,0,0,0,73426.jpg,2.5,0,0,Gray,1.3,False,18,a,18,57,594.0,79,258923,0,312519,0,0.4,12.5,Gray,1,83,28
384,2,7,241,100,100,6,41725,0,0,-2,2,349.4,1,0,4,0.3,0.2,1,Troy,1.2,30,5,125.3,417,False,343.0,0,0,0,0,1836,,2018-04-23T16:31:18Z,63,0,2,0,41725.jpg,2.5,1,0,Deeney,0.8,False,9,a,18,57,566.0,73,127539,0,133194,0,0.2,11.6,Deeney,1,116,2
385,1,1,52,0,0,2,20046,0,0,-2,2,92.0,0,0,4,0.0,0.0,0,Stefano,0.4,9,1,29.8,418,False,74.4,0,0,0,0,442,Thigh injury - Unknown return date,2018-04-27T17:31:17Z,53,0,0,0,20046.jpg,1.6,0,0,Okaka,0.3,False,33,i,18,57,145.0,24,50983,0,66463,0,0.1,4.5,Okaka,2,1,0
386,0,0,12,None,None,0,133801,0,0,-1,1,11.0,0,0,4,-0.7,-0.8,0,Jerome,0.2,1,0,1.9,499,False,4.4,0,0,0,0,29,,None,49,0,0,0,133801.jpg,1.0,0,0,Sinclair,0.2,False,17,a,18,57,4.0,4,11648,0,14226,0,0.0,0.8,Sinclair,0,0,0
390,1,0,131,100,100,3,40755,0,0,-1,1,205.3,0,0,4,0.0,0.1,1,Daniel,0.6,8,2,64.5,236,False,136.2,0,0,0,0,541,,2018-04-15T14:01:19Z,79,0,0,0,40755.jpg,2.1,0,0,Sturridge,0.6,False,15,a,19,35,304.0,32,78626,0,94692,0,0.1,4.1,Sturridge,0,34,90
393,3,5,271,100,100,6,57134,0,0,-5,5,387.2,1,0,4,3.3,2.9,2,Salomón,3.4,48,7,169.6,435,False,431.2,0,0,0,0,2765,,2018-01-02T20:01:19Z,60,0,0,0,57134.jpg,2.9,0,0,Rondón,1.1,False,9,a,19,35,891.0,103,132766,0,174262,0,0.6,17.2,Rondón,4,148,141
409,1,6,106,100,100,3,40142,0,0,-3,3,110.2,1,0,4,2.2,1.8,0,Andy,1.8,13,3,58.8,457,False,145.4,0,0,0,0,742,,2018-04-16T19:01:19Z,57,0,0,0,40142.jpg,2.3,1,0,Carroll,0.3,False,9,a,20,21,344.0,36,111364,0,105900,0,0.3,6.3,Carroll,5,12,0
411,2,14,309,75,75,6,43020,0,0,-3,3,312.4,2,0,4,0.4,0.4,0,Javier,0.5,36,8,115.0,487,False,373.6,0,0,0,0,1537,Knee injury - 75% chance of playing,2018-05-13T14:01:21Z,67,0,0,0,43020.jpg,3.3,0,0,Hernández Balcázar,7.2,False,17,d,20,21,476.0,93,1272180,0,1958547,0,0.1,13.9,Chicharito,3,86,28
416,0,0,4,None,None,0,167522,0,0,-6,6,0.4,0,0,4,0.0,0.0,0,Jordan,0.0,0,0,0.0,622,False,0.0,0,0,0,0,22,,None,49,0,0,0,167522.jpg,1.0,0,0,Hugill,0.0,False,12,a,20,21,0.0,3,2078,0,1540,0,0.0,0.6,Hugill,0,0,0
